tax_id	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode79	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode51	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode42	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode49	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode08	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode06	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode45	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode39	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode50	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode32	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode46	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode16	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode71	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode11	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode24	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode89	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode59	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode53	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode52	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode48	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_unclassified-threshold-0.0001	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode04	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode30	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode44	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode36	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode47	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode05	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode62	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode34	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode33	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode10	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode37	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode60	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode31	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode14	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode25	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode35	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode03	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode96	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode41	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode19	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode56	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode61	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode27	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode58	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode43	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode15	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_unclassified	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode38	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode17	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode40	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode90	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode29	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode72	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode23	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode92	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode18	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode07	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode54	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode20	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode13	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode57	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode01	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode02	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode26-threshold-0.0001	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode55	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode22	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode12	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode28	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode09	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode76	e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode26
10000																			15.782416542492726																																																					
10101																																																																			17.000460629885804					
10114			27.040612853859184	322.58965140128345		51.16916189202284	36.47233608989061	30.68691750536861	40.37738115776474	21.73582862245392		191.5587542183518		15.933416325277856	59.93185106451955		13.84680630572978		63.05404126187176		747.235979054496	21.062518531072747	102.45310635120627	21.445247035814035	26.50209318685328					469.44889249131415			566.2121184583789		28.848740400094133	40.54593047557472	33.99682515256643	26.056080682795884		74.08530062900427	17.63282171556475	74.41297821553242		294.5259368866259	210.68485382640745		39.824279228846486	745.6824756805155	135.02467000029165	45.25504415050995	302.0574505828893				12.633096603908886		47.2632729788821		161.94567979989665	119.95706938301592	48.51295335102162	20.02499222058995	27.0262400043782	36.966310962276246	1027.667944977549	309.5612411095653	34.996863930898684	26.071425325840373	16.001943955658554			1024.8527480541095
1029		43.92806666863792																																							81.50527235516488							30.60606999030401																								
103																												43.77615009719573																																												
10334		36.95837343135966																																														23.000807343900963																							1.0	
10351											118.83495790960374											52.838218976338055																				13.67959647693366						15.739334728000124														30.27174967319266		10.732986060248738								
1036		1246.9875012972404		70.2575918259583	187.8328972289437	101.34356861118688	36.0994607624063		11.008211174527986	28.31139934101381		360.21115267451853			104.79309872608655			52.12133629827807	40.858313372611065	34.545762084985434	964.5713095215086	37.78974551027273	54.5989880635233	13.999999999693678	378.2422820042293					15.230222555636534		64.03541523123857	96.24472605891832	43.17038795329745	30.9658492834568	55.35999730640712	37.82583366265944	31.000020568904493		95.05446975840776	369.85784749224456	79.77713803488885		141.6836725280419	129.2652761996862	71.81915164746125	78.8248201796881	945.8086411945162	100.2831408566656	15.977365605715514			101.75936766399956		42.83648920548042		277.6993626017758	15.872682218728915	189.88881456829824	93.69248338218289	136.3257323861833	124.52987412774772	527.3523306075909	187.76165568392892	697.9608916201562	546.8828901741583	26.137258659137828	20.00077267261106	19.02284597414691			696.3958690064472
10365									14.997178881593742								17.0				71.03860926956735																	24.0635925186743			53.27426113635767				57.02240122893377	13.0	11.06371174744472	70.90182293769368			49.49545579259806				111.55776040428216		20.000000515368267		49.512752101000736	67.56647679277067				122.44824011601476		17.024342966389003						
10465				152.37366656035562	22.56874547860036	81.39791472351989	19.55289728865805		10.546699144138014	95.17948736835372	18.34599140380516	141.0548776116236			207.8311436459826		10.991834867852374		10.882660780890426	32.023892658596985	776.4850552176686	40.97264769877689	1069.6484836720854	26.27895159576563	219.8312109475772							13.878345249085145	240.65616744938416	79.72728443861558	118.0010181922236	30.82154880189047	100.31795560181595			330.9083730680869	49.71406916565459	30.948854828878048		206.9406223208479	181.4183191453761	20.14810675633473	50.60383112453964	773.9458674300345	55.942333317181486	18.44705875741382			303.60363198063993		265.3447343992012		71.10949395240054		128.0722051129139	189.90681041921772	44.447523429800185	74.14710524522525	107.82046399065712	122.84655630723589	41.02896535053253	1057.3121734011288	25.565518236258423	20.180609231989816	17.160389770158417			41.0063609320786
1050											25.98635064225489																																																											30.042715073475087		
10539			34.000001368119904	52.39787251110223		197.4196727344564	55.84812297217776	15.000009043788085	10.868881786935216	53.563912035362016		108.28660153146696		46.15068630714016	63.24754977617041			13.00000001026874	30.00005658894337	103.75729484813584	718.7347101830829		120.98167293169696	13.99362142180461						121.38497726861104			872.6295920779073	35.018433097087325	64.31452584110079	36.87862477323485	218.48089457262125			44.84590588302333	136.20585792814867	67.993814637415		53.28773330013046	373.0991058607096	77.12429605454298	32.30233801416863	713.8717873391204	379.4288763653665		14.938993262320272		10.217846668029496				53.80747483465639	23.55812534112058	75.12387071329073	728.2793367495489	144.5165381605719		19.97505563860707	59.01440334765075	697.0739048401159	154.98477468956906	20.94219172310617	116.89978610327094	18.00178181557024			696.5855098127895
106		12.013643114064273									40.79561269785624				13.0			51.63785031988557		161.69653942722027	105.06413691672596															13.97572614371307					19.00009940167838	381.1070360120126						103.85850168733522	27.99994878053114														11.0				44.93062321939454					
1064												50.34400842527763									205.027171405616												606.8872056545662												18.97993437076275		265.06555390969976	204.63196424862792							45.23378202599764						462.9467884499833				21.00016162591137		51.946083871877065					20.98522353196775
10649								12.0																																									12.0																							
10668																																				41.99959074312555																																				
1069			77.56527473165634		37.12713823900788	107.53408999319358	242.68717856430072	24.41573917555085	4181.323690450654		316.803439415459	72.07923978186226		3681.4556233964176	253.8324430314742		125.60700559408308	835.5680648388982	1068.730012405025	15.84275933702562	4886.065792948934	2039.717139668346		126.56000879436117					93.32674988066393	52.15117729335014	19.947382859544287	390.4808428150456		111.30663980982968		308.8212363824214	12.11459158698687	1881.3826515672365		23.19827823610736	2496.6499953182342	3077.200927557449		1473.4878160104377	33.929248952130926		42.008929388628445	4866.659132158125	23.40174458687969		97.85906803030969		45.52270518911916		594.263132651421		13.289478917145676	129.31241240687197	4793.897532832212	33.80112132217474	42.703856826270766	1415.2548495479848	309.28945740309274	3706.881586436131	2592.550691452671	133.2696643087697	141.7786575470722	2840.631813718541	4927.500338031249	24.299575453493876		2591.2654714277824
10700																			33.34775569072251																																																					18.212261415752927
108																																																					11.0																			
10857		564.5640269476838																			97.1806785493654																											96.04976737125176																								
11																												93.0																				19.96137531060968											50.0													
110																																																															12.65416637116135									
1110					328.6798673161192																47.3349887545638																											47.2896707239884																								
1111																			28.66766346768601																													19.09125908742596											10.05325773627648													
11211																												136.74749968325642																				13.972962717302442																								
116																																						28.99896397098675																																		
11665		13.116966546826182																																																																						
11780		2938.317630799635																	19.27864149690824		390.8717983822914																											368.58815156159																								
12060		24.729681622409714																																																																						
1209							92.51066201213364																		21.80659525995422																							15.463485678952164																								
12148																									22.30888941647621								15.99999999429017															27.337960828941355									13.99999999077185			19.55183789768642												13.930975299293891
12481									14.00560899329141											13.506261708756444																																																	10.755101433961146			
12601						11.0						14.0			29.99996897536688						45.00088769966671		66.98948038858224							14.051039051063691															48.44276491817987		22.16783605442572	44.913982133713965					15.999999999277357		14.999999988355006					10.0	15.000389888306616				19.0	20.0						18.98648448999469
12609			32.91096786266168		24.14701661772792	418.1632609650179				13.867440071928014							30.84579596847216				88.68800773832263									87.28020050941919	308.5790542780797	138.81966863181785			17.133179510394687											144.4304788192639		88.37774845580611					13.823987463497309																	293.19824045005674		
12698		59.83072656217725																																																																						
12745																																12.775573687616792	33.431699514436																																							
1281																																																18.797122436886173											14.032770924940984													
