"Sample ID","User name","Date and Time","Nucleic Acid","Unit","A260 (Abs)","A280 (Abs)","260/280","260/230","Sample Type","Factor","animal"
"15w","fay_w","26/03/2023 08:55:20",2.2,"ng/µl",0.043,0.019,2.21,0.31,"DNA",50,"David"
"16s","fay_w","26/03/2023 08:49:26",48.2,"ng/µl",0.964,0.524,1.84,2.03,"DNA",50,"David"
"18s","fay_w","26/03/2023 08:54:24",116.5,"ng/µl",2.33,1.252,1.86,2.01,"DNA",50,"David"
"h2o bleach","fay_w","26/03/2023 08:56:18",3.1,"ng/µl",0.062,0.032,1.96,0.55,"DNA",50,"David"
"13s","fay_w","26/03/2023 08:59:05",3.4,"ng/µl",0.068,0.038,1.79,0.69,"DNA",50,"David"
"15w_re","fay_w","26/03/2023 08:57:13",2,"ng/µl",0.041,0.022,1.82,0.22,"DNA",50,"David"
"16w","fay_w","26/03/2023 08:58:00",78.7,"ng/µl",1.574,0.859,1.83,2.12,"DNA",50,"David"
"12s","fay_w","26/03/2023 08:59:49",2.1,"ng/µl",0.043,0.018,2.4,0.71,"DNA",50,"David"
"13w","fay_w","26/03/2023 09:01:23",38,"ng/µl",0.761,0.418,1.82,2.06,"DNA",50,"David"
"12w","fay_w","26/03/2023 09:00:29",28.3,"ng/µl",0.566,0.311,1.82,1.65,"DNA",50,"David"
"19","fay_w","26/03/2023 09:02:03",162.9,"ng/µl",3.258,1.789,1.82,2,"DNA",50,"David"
"h2o not bleached","fay_w","26/03/2023 09:02:54",5.1,"ng/µl",0.101,0.059,1.71,0.3,"DNA",50,"David"
"17s","fay_w","26/03/2023 09:56:29",29.3,"ng/µl",0.587,0.317,1.85,1.77,"DNA",50,"David"
"14w","fay_w","26/03/2023 09:57:30",90.4,"ng/µl",1.807,0.993,1.82,2.16,"DNA",50,"David"
"14w","fay_w","26/03/2023 09:58:09",6.2,"ng/µl",0.125,0.065,1.91,1.04,"DNA",50,"David"
"15s","fay_w","26/03/2023 09:58:54",6.4,"ng/µl",0.127,0.044,2.88,0.43,"DNA",50,"David"
"5.2 W","fay_w","26/03/2023 10:00:13",43.1,"ng/µl",0.862,0.474,1.82,1.8,"DNA",50,"David"
"17w","fay_w","26/03/2023 10:01:04",25.3,"ng/µl",0.507,0.265,1.91,0.55,"DNA",50,"David"
"1w","fay_w","26/03/2023 10:16:10",6.6,"ng/µl",0.132,0.077,1.71,-0.5,"DNA",50,"David"
"2w","fay_w","26/03/2023 10:16:55",52.3,"ng/µl",1.046,0.586,1.79,16.63,"DNA",50,"David"
"3w","fay_w","26/03/2023 10:17:27",39.7,"ng/µl",0.794,0.45,1.76,-5.02,"DNA",50,"David"
"4w","fay_w","26/03/2023 10:18:00",13.2,"ng/µl",0.264,0.145,1.82,-0.78,"DNA",50,"David"
"5w","fay_w","26/03/2023 10:18:34",18,"ng/µl",0.359,0.205,1.75,-0.88,"DNA",50,"David"
"6w","fay_w","26/03/2023 10:19:31",27.6,"ng/µl",0.552,0.314,1.76,-1.63,"DNA",50,"David"
"7w","fay_w","26/03/2023 10:20:31",45,"ng/µl",0.899,0.533,1.69,4.04,"DNA",50,"David"
"10w","fay_w","26/03/2023 10:21:38",7.1,"ng/µl",0.141,0.085,1.67,-0.43,"DNA",50,"David"
"11w","fay_w","26/03/2023 10:22:16",42.4,"ng/µl",0.849,0.478,1.77,-31.46,"DNA",50,"David"
"1s","fay_w","26/03/2023 10:25:50",4.2,"ng/µl",0.084,0.055,1.53,-0.19,"DNA",50,"David"
"2s","fay_w","26/03/2023 10:26:22",29.3,"ng/µl",0.585,0.329,1.78,-2.53,"DNA",50,"David"
"3s","fay_w","26/03/2023 10:27:00",3,"ng/µl",0.06,0.045,1.33,-0.16,"DNA",50,"David"
"4s","fay_w","26/03/2023 10:27:30",16.2,"ng/µl",0.325,0.187,1.73,-0.96,"DNA",50,"David"
"5s","fay_w","26/03/2023 10:28:00",40.1,"ng/µl",0.801,0.446,1.8,-10.1,"DNA",50,"David"
"6s","fay_w","26/03/2023 10:28:34",26.5,"ng/µl",0.53,0.299,1.77,-2.97,"DNA",50,"David"
"7s","fay_w","26/03/2023 10:29:04",35,"ng/µl",0.701,0.388,1.81,-11.78,"DNA",50,"David"
"8s","fay_w","26/03/2023 10:29:43",42.9,"ng/µl",0.859,0.479,1.79,-49.4,"DNA",50,"David"
"9s","fay_w","26/03/2023 10:30:13",68,"ng/µl",1.359,0.75,1.81,8.64,"DNA",50,"David"
"10s","fay_w","26/03/2023 10:30:46",39.2,"ng/µl",0.784,0.434,1.81,-11.47,"DNA",50,"David"
"11s","fay_w","26/03/2023 10:31:15",34.7,"ng/µl",0.694,0.382,1.82,-2.83,"DNA",50,"David"
