"Sample","Date","Time","Nucleic_Acid","Unit","A260","A280","260/280","260/230","Sample_type","Factor"
"S01","26/03/2023","14:57:03",1,"ng/µl",0.019,0.008,2.38,0.33,"DNA",50
"S09","26/03/2023","14:58:10",0.4,"ng/µl",0.008,0.001,7.86,-0.06,"DNA",50
"S11","26/03/2023","14:58:35",3.1,"ng/µl",0.062,0.038,1.63,0.24,"DNA",50
"S12","26/03/2023","14:59:06",10.3,"ng/µl",0.206,0.108,1.92,0.34,"DNA",50
"S22","26/03/2023","14:59:36",0,"ng/µl",0.001,-0.005,-0.12,0,"DNA",50
"S23","26/03/2023","15:00:16",0.5,"ng/µl",0.011,0.009,1.22,0.02,"DNA",50
"S28","26/03/2023","15:00:53",1.8,"ng/µl",0.037,0.017,2.16,0.03,"DNA",50
"S42","26/03/2023","15:01:22",30.9,"ng/µl",0.618,0.336,1.84,1.84,"DNA",50
"BW27","26/03/2023","15:02:11",0.2,"ng/µl",0.004,0.005,0.84,0.01,"DNA",50
"BW24","26/03/2023","15:02:42",18.7,"ng/µl",0.374,0.201,1.86,0.78,"DNA",50
"BW40","26/03/2023","15:03:11",63.4,"ng/µl",1.267,0.68,1.87,1.13,"DNA",50
"BW44","26/03/2023","15:03:33",11.3,"ng/µl",0.226,0.112,2.01,0.21,"DNA",50
"C01","26/03/2023","15:04:09",4.4,"ng/µl",0.088,0.044,2,-1.03,"DNA",50
"C02","26/03/2023","15:04:35",0.1,"ng/µl",0.002,0.003,0.71,-0.03,"DNA",50
"C03","26/03/2023","15:05:04",6.8,"ng/µl",0.135,0.088,1.54,1.81,"DNA",50
"C04","26/03/2023","15:05:28",3.5,"ng/µl",0.069,0.04,1.75,1.13,"DNA",50
"C05","26/03/2023","15:06:00",3.9,"ng/µl",0.078,0.04,1.92,0.61,"DNA",50
"C05","26/03/2023","15:06:50",-0.6,"ng/µl",-0.012,-0.012,1.01,0.12,"DNA",50
"C06","26/03/2023","15:07:05",-0.4,"ng/µl",-0.007,-0.005,1.42,0.11,"DNA",50
"C07","26/03/2023","15:07:43",-0.6,"ng/µl",-0.012,-0.012,0.99,0.07,"DNA",50
"C08","26/03/2023","15:08:10",5.6,"ng/µl",0.111,0.053,2.09,-0.99,"DNA",50
"C09","26/03/2023","15:08:52",15.4,"ng/µl",0.309,0.169,1.82,2.66,"DNA",50
"C10","26/03/2023","15:10:05",1.7,"ng/µl",0.034,0.01,3.4,0.03,"DNA",50
"C","26/03/2023","15:10:31",2.1,"ng/µl",0.042,0.013,3.18,0.03,"DNA",50
"V01","26/03/2023","15:11:06",20.6,"ng/µl",0.412,0.217,1.9,0.63,"DNA",50
"V02","26/03/2023","15:11:40",5.6,"ng/µl",0.111,0.064,1.74,68.23,"DNA",50
