"Sample ID","User name","Date and Time","Nucleic Acid","Unit","A260 (Abs)","A280 (Abs)","260/280","260/230","Sample Type","Factor"
"LJ-003+","fay_w","26/03/2023 10:48:02",114.7,"ng/µl",2.295,1.56,1.47,0.79,"DNA",50
NA,"fay_w","26/03/2023 10:45:43",6.1,"ng/µl",0.122,0.074,1.65,1.07,"DNA",50
"LJ-002+","fay_w","26/03/2023 10:47:17",5.1,"ng/µl",0.102,0.058,1.75,-0.23,"DNA",50
"LJ-004+","fay_w","26/03/2023 10:48:44",7.5,"ng/µl",0.151,0.1,1.52,-0.5,"DNA",50
"LJ-001","fay_w","26/03/2023 10:49:18",7.6,"ng/µl",0.153,0.096,1.59,-0.39,"DNA",50
"LJ-002","fay_w","26/03/2023 10:49:51",39.8,"ng/µl",0.797,0.487,1.64,1.55,"DNA",50
"LJ-003","fay_w","26/03/2023 10:50:34",4.9,"ng/µl",0.097,0.048,2.03,-0.21,"DNA",50
"LJ-004","fay_w","26/03/2023 10:51:10",2.9,"ng/µl",0.058,0.029,1.98,-0.18,"DNA",50
"R1(9)","fay_w","26/03/2023 10:53:01",107.8,"ng/µl",2.155,1.238,1.74,2.88,"DNA",50
"R2.1(10)","fay_w","26/03/2023 10:53:47",63.1,"ng/µl",1.263,0.694,1.82,35.26,"DNA",50
"R2.2(11)","fay_w","26/03/2023 10:54:27",49.9,"ng/µl",0.998,0.696,1.43,0.53,"DNA",50
"R3.2(13)","fay_w","26/03/2023 10:56:50",44,"ng/µl",0.881,0.541,1.63,1.86,"DNA",50
"R3.1(12)","fay_w","26/03/2023 10:55:36",69.8,"ng/µl",1.395,0.749,1.86,16.35,"DNA",50
"R5(15)","fay_w","26/03/2023 10:58:31",87.7,"ng/µl",1.753,0.947,1.85,5.6,"DNA",50
"R4(14)","fay_w","26/03/2023 10:57:43",118.5,"ng/µl",2.371,1.341,1.77,2.09,"DNA",50
"R5.2(16)","fay_w","26/03/2023 10:59:02",-1.7,"ng/µl",-0.034,-0.064,0.54,-0.05,"DNA",50
"R6.9(17)","fay_w","26/03/2023 10:59:49",70.9,"ng/µl",1.417,0.762,1.86,10.83,"DNA",50
"R6.b(18)","fay_w","26/03/2023 11:00:25",43.1,"ng/µl",0.863,0.465,1.86,694.6,"DNA",50
"R7a(19)","fay_w","26/03/2023 11:01:07",27.4,"ng/µl",0.547,0.3,1.82,-1.68,"DNA",50
"R7b(20)","fay_w","26/03/2023 11:01:41",48.1,"ng/µl",0.963,0.525,1.83,-87.42,"DNA",50
"R8(21)","fay_w","26/03/2023 11:02:15",145.3,"ng/µl",2.906,1.57,1.85,3.57,"DNA",50
"R control (22)","fay_w","26/03/2023 11:03:17",4.2,"ng/µl",0.084,0.053,1.59,-0.24,"DNA",50
"Ro16","fay_w","26/03/2023 11:04:55",89.9,"ng/µl",1.798,0.968,1.86,1.54,"DNA",50
"Ro15","fay_w","26/03/2023 11:05:21",26.8,"ng/µl",0.535,0.283,1.89,1.18,"DNA",50
"Ro14","fay_w","26/03/2023 11:05:50",33.4,"ng/µl",0.668,0.353,1.89,1.04,"DNA",50
"Ro13","fay_w","26/03/2023 11:06:21",45.5,"ng/µl",0.91,0.586,1.55,0.54,"DNA",50
"Ro12","fay_w","26/03/2023 11:06:41",129.3,"ng/µl",2.587,1.37,1.89,1.96,"DNA",50
"Ro11","fay_w","26/03/2023 11:07:08",120.5,"ng/µl",2.41,1.367,1.76,1.15,"DNA",50
"Ro10","fay_w","26/03/2023 11:07:39",177.9,"ng/µl",3.558,1.887,1.89,1.91,"DNA",50
