sample_ID,sample_type,project,Date_28s_PCR,Gene,Barcode_plate_position,Barcode
LJ-002 ,tick,Lilla,27/03/2023,28s,A1,BC01  
LJ-003 ,tick,Lilla,27/03/2023,28s,B1,BC13  
R29,rodent,rodent,27/03/2023,28s,C1,BC25  
R11,rodent,rodent,27/03/2023,28s,D1,BC37  
R10,rodent,rodent,27/03/2023,28s,E1,BC49  
R09,rodent,rodent,27/03/2023,28s,F1,BC61  
R34,rodent,rodent,27/03/2023,28s,G1,BC73  
R21,rodent,rodent,27/03/2023,28s,H1,BC85  
R20,rodent,rodent,27/03/2023,28s,A2,BC02  
R19,rodent,rodent,27/03/2023,28s,B2,BC14  
R16,rodent,rodent,27/03/2023,28s,C2,BC26  
R15,rodent,rodent,27/03/2023,28s,D2,BC38  
R30,rodent,rodent,27/03/2023,28s,E2,BC50  
R28,rodent,rodent,27/03/2023,28s,F2,BC62  
R27,rodent,rodent,27/03/2023,28s,G2,BC74  
R25,rodent,rodent,27/03/2023,28s,H2,BC86  
R38,rodent,rodent,27/03/2023,28s,A3,BC03  
R37,rodent,rodent,27/03/2023,28s,B3,BC15  
R35,rodent,rodent,27/03/2023,28s,C3,BC27  
R33,rodent,rodent,27/03/2023,28s,D3,BC39  
R32,rodent,rodent,27/03/2023,28s,E3,BC51  
R31,rodent,rodent,27/03/2023,28s,F3,BC63  
G13.1,zebra,Grace,27/03/2023,28s,G3,BC75  
R48,rodent,rodent,27/03/2023,28s,H3,BC87  
R47,rodent,rodent,27/03/2023,28s,A4,BC04  
R45,rodent,rodent,27/03/2023,28s,B4,BC16  
R44,rodent,rodent,27/03/2023,28s,C4,BC28  
R42,rodent,rodent,27/03/2023,28s,D4,BC40  
SS3OS,ostich,SuzanaSuares,27/03/2023,28s,E4,BC52  
SS6G,giraffe,SuzanaSuares,27/03/2023,28s,F4,BC64  
R49,rodent,rodent,27/03/2023,28s,G4,BC76  
G10.3,zebra,Grace,27/03/2023,28s,H4,BC88  
LW3L,cheetha,Lilla,27/03/2023,28s,A5,BC05  
SS2Ro,,SuzanaSuares,27/03/2023,28s,B5,BC17  
R53,rodeant,rodent,27/03/2023,28s,C5,BC29  
MM25L,cheetah,Lilla,27/03/2023,28s,D5,BC41  
SS9E,elephant,SuzanaSuares,27/03/2023,28s,E5,BC53  
SS7Z,zebra,SuzanaSuares,27/03/2023,28s,F5,BC65  
GC.6,zebra,Grace,27/03/2023,28s,G5,BC77  
G10.8,zebra,Grace,27/03/2023,28s,H5,BC89  
SS4BW,blackwilderbeast,SuzanaSuares,27/03/2023,28s,A6,BC06  
SS5SB,springbock,SuzanaSuares,27/03/2023,28s,B6,BC18  
S23,,Düppel,27/03/2023,28s,C6,BC30  
R56,rodent,rodeants,27/03/2023,28s,D6,BC42  
R55,rodent,rodeants,27/03/2023,28s,E6,BC54  
R50,rodent,rodeants,27/03/2023,28s,F6,BC66  
R52,rodent,rodeants,27/03/2023,28s,G6,BC78  
S42,,Düppel,27/03/2023,28s,H6,BC90  
S12,,Düppel,27/03/2023,28s,A7,BC07  
S11,,Düppel,27/03/2023,28s,B7,BC19  
BW44,,Düppel,27/03/2023,28s,C7,BC31  
BW40,,Düppel,27/03/2023,28s,D7,BC43  
BW24,,Düppel,27/03/2023,28s,E7,BC55  
W1,,Düppel,27/03/2023,28s,F7,BC67  
C09,,Düppel,27/03/2023,28s,G7,BC79  
C08,,Düppel,27/03/2023,28s,H7,BC91  
