tax_id	species	genus	family	order	class	phylum	superkingdom	barcode06	barcode13	barcode15	barcode19	barcode20	barcode16	barcode25	barcode17	barcode03	barcode01	barcode02	barcode04	barcode07	barcode14	barcode05	barcode18	barcode26	barcode28	barcode30	barcode27	barcode31	barcode29	barcode37	barcode38	barcode39	barcode40	barcode41	barcode46	barcode42	barcode49	barcode43	barcode51	barcode50	barcode55	barcode53	barcode54	barcode61	barcode62	barcode64	barcode63	barcode67	barcode52	barcode72	barcode73	barcode65	barcode74	barcode75	barcode66	barcode76	barcode79	barcode84	barcode77	barcode85	barcode87	barcode78	barcode90	barcode86	barcode91	barcode89	barcode88
100040	Phaeodothis winteri	Phaeodothis	Phaeosphaeriaceae	Pleosporales	Dothideomycetes	Ascomycota	Eukaryota																			13.983273709078508						934.967860215264															18.24634691929182																				
1002140	fungal sp. FSU 10219						Eukaryota															16.89203743945712																																													
1002263	Durusdinium sp. clade D	Durusdinium	Symbiodiniaceae	Suessiales	Dinophyceae		Eukaryota											12.088705553123368			10.048916998840015																						42.79683065674804	33.79299431463892																							
100272	uncultured eukaryote						Eukaryota	625.5582107981198	212.9612245617948	451.3692238427752	126.08015966118973		1197.2777436166064	112.61127902281908	1352.7695134402304	148.99290429400762	220.09899139927643	1056.540070951179	2899.208179632689	110.90546767258108	650.7886968279427	1251.6482112405376	1103.301476586523	105.8569312315588	397.1744188090093	177.22251843459154	1796.9824731514898	1062.22499725052	1534.5411106520808	136.71490139890028	454.9379496397773	669.3982577835126	782.6316034298032	197.70017478298624	5.641976396685981	544.0632853785373	502.4371847687603	226.0053565793124	1160.09635728564	332.9107335605252	122.52904204911876	1365.564539312344	1339.17904844434	310.10896178984046	318.8263834493709	614.1533002920955	427.64508683859066	3.4686769410239457	55.94460765710428	3.071206957911719	137.50153137913262	849.1340664831034	565.6663810679757	178.36398393015088	3901.3210057988017	1773.186134969058	34.5283360751042	2.792083625675164	208.8054882097408	367.0921861408173	856.0841963028732	1871.880293171146	90.5533682968542	966.3100005622532	85.46809944377166	94.62030624215082	653.0625242677653
1004048	Euplotes parabalteatus	Euplotes	Euplotidae	Euplotida	Spirotrichea	Ciliophora	Eukaryota												10.861982044169377																												15.761214430345126								18.37262683764936												
1006923	Amanita sp. 'banningiana'	Amanita	Amanitaceae	Agaricales	Agaricomycetes	Basidiomycota	Eukaryota																																						15.240731270089045																						
100910	Rhodosporidiobolus nylandii	Rhodosporidiobolus	Sporidiobolaceae	Sporidiobolales	Microbotryomycetes	Basidiomycota	Eukaryota				66.28741583152924													219.45556437050783			35.53516391626494			27.56725511644868										28.238308079825405			708.7516857745856		85.5356100856268		13.03258098898897				378.7870948280842															22.03159738372534	
100914	Rhodotorula alborubescens	Rhodotorula	Sporidiobolaceae	Sporidiobolales	Microbotryomycetes	Basidiomycota	Eukaryota																				10.761174980147064																																								
100951	Naganishia albida	Naganishia	Filobasidiaceae	Filobasidiales	Tremellomycetes	Basidiomycota	Eukaryota	341.4784164353634	59.12971144930761	1279.7431313430927	114.40024216021972		2575.9054060388207	57.764173229762605	132.26880990136664	796.6337217128269		232.55958538335253	28.46870284344381	150.46784457586625	1176.066316717756	1880.103008959675	1569.6346037726607		30.177690834308237	174.1666339155542	5136.117501902665	30.532203041154787				121.00137458014186	1656.8151801676142	665.9814837955633			37.26301618026827	271.2509107114185	2850.9638421986538	211.9076652966785	134.47549837956504	3521.2282793158424	128.50305461468656	33.402876850049054	100.51108225475951	389.6454782860955	376.3521352167829		36.750864102599856		22.67286805061248	473.9710518257722	387.9559708737759	150.96135426199783	52.632039109266856		24.025163312278234		141.32604315899326	65.8951170194219		20.87231760154542	47.00944083002916		46.85462505098647	62.55986109588911	413.8036569131079
1010831	Spauligodon carbonelli	Spauligodon	Pharyngodonidae	Rhabditida	Chromadorea	Nematoda	Eukaryota																																																					11.0457671965005							
