Sample_ID_phyloseq,tax_id,count_16s,species,genus,family,order,class,phylum,superkingdom,Latitude,Longitude,Morphology_species,Sex,Age,Weight_g,Location_type,Date,conc_16s__PCR,Gene,Sample_ID,barcode_16s,is_control,sample_or_control
R48__barcode52,10000,15.782416542492726,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,-22.582935,18.186706,Micaelamys_namaquesnsis,male,adult,62,Bush,25.03.2023,16,16s,R48,barcode52,FALSE,sample
R18__barcode22,10101,17.000460629885804,atypica;,Actinomycetospora,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria,Actinobacteriota,Bacteria,-22.615737,18.192335,Mastomy_coucha,male,adult,34,House_outdoors,23.03.2023,11.7,16s,R18,barcode22,FALSE,sample
R38__barcode42,10114,27.040612853859184,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,46,Chickens,24.03.2023,14,16s,R38,barcode42,FALSE,sample
R45__barcode49,10114,322.58965140128345,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.586753,18.184711,Micaelamys_namaquesnsis,male,adult,55,Bush,25.03.2023,16,16s,R45,barcode49,FALSE,sample
R04__barcode06,10114,51.16916189202284,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.580747,18.187053,Mastomy_coucha,male,juvenile,7,Indoors,22.03.2023,18.3,16s,R04,barcode06,FALSE,sample
R41__barcode45,10114,36.47233608989061,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683512,18.161339,Micaelamys_namaquesnsis,female,adult,56,Chickens,24.03.2023,27,16s,R41,barcode45,FALSE,sample
R35__barcode39,10114,30.68691750536861,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683966,18.160235,Micaelamys_namaquesnsis,male,adult,61,Bush,24.03.2023,3.2,16s,R35,barcode39,FALSE,sample
R46__barcode50,10114,40.37738115776474,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.583613,18.186369,Mastomy_coucha,female,adult,45,Bush,25.03.2023,25,16s,R46,barcode50,FALSE,sample
R28__barcode32,10114,21.73582862245392,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683319,18.160801,Micaelamys_namaquesnsis,NA,adult,NA,House_outdoors,24.03.2023,20.8,16s,R28,barcode32,FALSE,sample
R12__barcode16,10114,191.5587542183518,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.615088,18.192674,Micaelamys_namaquesnsis,male,adult,60,House_outdoors,23.03.2023,17.7,16s,R12,barcode16,FALSE,sample
