tax_id,barcode,count_melanie,species,genus,family,order,class,phylum,superkingdom,Sample_ID,Latitude,Longitude,Morphology_species,Sex,Age,Weight_g,Location_type,Date,conc_16s__PCR
10000,barcode51,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R47,-22.583613,18.186369,Elephantulus_intufi,unidentified,adult,63,Bush,25.03.2023,27
10000,barcode42,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R38,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,46,Chickens,24.03.2023,14
10000,barcode49,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R45,-22.586753,18.184711,Micaelamys_namaquesnsis,male,adult,55,Bush,25.03.2023,16
10000,barcode08,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R05,-22.580747,18.187053,Micaelamys_namaquesnsis,male,adult,43.5,Indoors,22.03.2023,2.1
10000,barcode06,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R04,-22.580747,18.187053,Mastomy_coucha,male,juvenile,7,Indoors,22.03.2023,18.3
10000,barcode45,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R41,-22.683512,18.161339,Micaelamys_namaquesnsis,female,adult,56,Chickens,24.03.2023,27
10000,barcode39,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R35,-22.683966,18.160235,Micaelamys_namaquesnsis,male,adult,61,Bush,24.03.2023,3.2
10000,barcode50,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R46,-22.583613,18.186369,Mastomy_coucha,female,adult,45,Bush,25.03.2023,25
10000,barcode32,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R28,-22.683319,18.160801,Micaelamys_namaquesnsis,NA,adult,NA,House_outdoors,24.03.2023,20.8
10000,barcode46,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R42,-22.683512,18.161339,Thallomys_paedulcus,male,adult,71,Chickens,24.03.2023,28
10000,barcode16,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R12,-22.615088,18.192674,Micaelamys_namaquesnsis,male,adult,60,House_outdoors,23.03.2023,17.7
10000,barcode11,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R07,-22.580747,18.187053,Mastomy_coucha,male,adult,45.5,Indoors,22.03.2023,28
10000,barcode24,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R19,-22.615737,18.192335,Micaelamys_namaquesnsis,male,adult,56,House_outdoors,23.03.2023,16
10000,barcode59,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R55,-22.577246,18.191356,Micaelamys_namaquesnsis,female,adult,51,Bush,26.03.2023,29
10000,barcode53,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R49,-22.579136,18.194229,Micaelamys_namaquesnsis,male,adult,57,Bush,26.03.2023,31
10000,barcode52,15.782416542492726,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R48,-22.582935,18.186706,Micaelamys_namaquesnsis,male,adult,62,Bush,25.03.2023,16
10000,barcode48,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R44,-22.683512,18.161339,House_mouse,male,NA,12,Chickens,24.03.2023,38
10000,barcode04,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R03,-22.578856,18.190222,Mastomy_coucha,male,adult,32.5,Bush,22.03.2023,22.8
10000,barcode30,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R26,-22.613411,18.193519,Micaelamys_namaquesnsis,male,adult,44,Farm,23.03.2023,24
10000,barcode44,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R40,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,56,Chickens,24.03.2023,18
10000,barcode36,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R32,-22.683742,18.160822,Micaelamys_namaquesnsis,NA,adult,NA,Bush,24.03.2023,16.3
10000,barcode47,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R43,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,46,Chickens,24.03.2023,0.001
10000,barcode05,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R03,-22.578856,18.190222,Mastomy_coucha,male,adult,32.5,Bush,22.03.2023,0.18
10000,barcode34,NA,NA,Libanicoccus,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,R30,-22.683563,18.16095,Micaelamys_namaquesnsis,NA,adult,NA,House,24.03.2023,32
