Sample_ID,Latitude,Longitude,Morphology_species,Sex,Age,Weight_g,Location_type,Date
R01,-22.578899,18.189302,Mastomy_coucha,male,adult,38.7,Outdoor_kitchen,22.03.2023
R02,-22.578899,18.189302,Mastomy_coucha,male,adult,43.5,Outdoor_kitchen,22.03.2023
R03,-22.578856,18.190222,Mastomy_coucha,male,adult,32.5,Bush,22.03.2023
R04,-22.580747,18.187053,Mastomy_coucha,male,juvenile,7,Indoors,22.03.2023
R05,-22.580747,18.187053,Micaelamys_namaquesnsis,male,adult,43.5,Indoors,22.03.2023
R06,-22.580747,18.187053,Micaelamys_namaquesnsis,male,adult,84.16,Indoors,22.03.2023
R07,-22.580747,18.187053,Mastomy_coucha,male,adult,45.5,Indoors,22.03.2023
R08,-22.580747,18.187053,Mastomy_coucha,male,adult,46.8,Indoors,22.03.2023
R09,-22.61483,18.192715,Thallomys_paedulcus,male,adult,116,House_outdoors,23.03.2023
R10,-22.615088,18.192674,Mastomy_coucha,male,adult,40,House_outdoors,23.03.2023
R11,-22.615088,18.192674,Thallomys_paedulcus,male,adult,89,House_outdoors,23.03.2023
R12,-22.615088,18.192674,Micaelamys_namaquesnsis,male,adult,60,House_outdoors,23.03.2023
R13,-22.615088,18.192674,Mastomy_coucha,male,adult,40,House_outdoors,23.03.2023
R14,-22.613508,18.192469,Micaelamys_namaquesnsis,male,juvenile,NA,House_outdoors,23.03.2023
R15,-22.613508,18.192469,Micaelamys_namaquesnsis,male,adult,54,House_outdoors,23.03.2023
R16,-22.613508,18.192469,Mastomy_coucha,male,adult,44,House_outdoors,23.03.2023
R18,-22.615737,18.192335,Mastomy_coucha,male,adult,34,House_outdoors,23.03.2023
R19,-22.615737,18.192335,Micaelamys_namaquesnsis,male,adult,56,House_outdoors,23.03.2023
R20,-22.613411,18.193519,Micaelamys_namaquesnsis,male,adult,45,Farm,23.03.2023
R21,-22.613411,18.193519,Mastomy_coucha,male,adult,38,Farm,23.03.2023
R22,-22.613411,18.193519,Mastomy_coucha,male,adult,35,Farm,23.03.2023
R23,-22.613411,18.193519,Mastomy_coucha,male,adult,30,Farm,23.03.2023
R24,-22.613411,18.193519,Mastomy_coucha,male,adult,33,Farm,23.03.2023
R25,-22.613411,18.193519,Micaelamys_namaquesnsis,male,adult,64,Farm,23.03.2023
R26,-22.613411,18.193519,Micaelamys_namaquesnsis,male,adult,44,Farm,23.03.2023
R27,-22.683319,18.160801,Micaelamys_namaquesnsis,NA,adult,NA,House_outdoors,24.03.2023
R28,-22.683319,18.160801,Micaelamys_namaquesnsis,NA,adult,NA,House_outdoors,24.03.2023
R29,-22.683382,18.16094,Micaelamys_namaquesnsis,NA,adult,NA,House,24.03.2023
R30,-22.683563,18.16095,Micaelamys_namaquesnsis,NA,adult,NA,House,24.03.2023
R31,-22.683563,18.16095,Micaelamys_namaquesnsis,NA,adult,NA,House,24.03.2023
R32,-22.683742,18.160822,Micaelamys_namaquesnsis,NA,adult,NA,Bush,24.03.2023
R33,-22.683742,18.160822,Micaelamys_namaquesnsis,NA,adult,NA,Bush,24.03.2023
R34,-22.683846,18.160353,Micaelamys_namaquesnsis,male,juvenile,19,Bush,24.03.2023
R35,-22.683966,18.160235,Micaelamys_namaquesnsis,male,adult,61,Bush,24.03.2023
R36,-22.683966,18.160235,Micaelamys_namaquesnsis,male,adult,52,Bush,24.03.2023
R37,-22.683966,18.160235,Micaelamys_namaquesnsis,male,adult,62,Bush,24.03.2023
R38,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,46,Chickens,24.03.2023
R39,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,59,Chickens,24.03.2023
R40,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,56,Chickens,24.03.2023
R41,-22.683512,18.161339,Micaelamys_namaquesnsis,female,adult,56,Chickens,24.03.2023
R42,-22.683512,18.161339,Thallomys_paedulcus,male,adult,71,Chickens,24.03.2023
R43,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,46,Chickens,24.03.2023
R44,-22.683512,18.161339,House_mouse,male,NA,12,Chickens,24.03.2023
R45,-22.586753,18.184711,Micaelamys_namaquesnsis,male,adult,55,Bush,25.03.2023
R46,-22.583613,18.186369,Mastomy_coucha,female,adult,45,Bush,25.03.2023
R47,-22.583613,18.186369,Elephantulus_intufi,unidentified,adult,63,Bush,25.03.2023
R48,-22.582935,18.186706,Micaelamys_namaquesnsis,male,adult,62,Bush,25.03.2023
R49,-22.579136,18.194229,Micaelamys_namaquesnsis,male,adult,57,Bush,26.03.2023
R50,-22.579395,18.192067,Micaelamys_namaquesnsis,female,adult,36,Bush,26.03.2023
R51,-22.579473,18.191019,Micaelamys_namaquesnsis,female,adult,40,Bush,26.03.2023
R52,-22.579473,18.191019,Micaelamys_namaquesnsis,female,adult,28,Bush,26.03.2023
R53,-22.579016,18.190399,Micaelamys_namaquesnsis,male,adult,39,Bush,26.03.2023
R54,-22.577597,18.191299,Vole,male,adult,79,Bush,26.03.2023
R55,-22.577246,18.191356,Micaelamys_namaquesnsis,female,adult,51,Bush,26.03.2023
R56,-22.575708,18.19194,Vole,NA,adult,49,Bush,26.03.2023
