Sample_ID,Well,Qubit_ng_ul_pre,Nanodrop_ng_ul_pre,A260_pre,Qubit_ng_ul_post,Nanodrop_ng_ul_post,A260_post,A280_post,Ratio_260_280_post,Ratio_260_230_post
R1,A1,112,0.547,1.59,8.64,13.7,13.7,0.273,1.47,1.67
R1.1,A2,16.7,0.193,1.3,0.8,0,0,-1.058,0.8,0.78
R2.2,A3,4.66,0.281,1.15,0.33,0.5,0.5,0.01,0.34,1.37
R3.1,A4,118,0.805,1.59,16.2,15.6,15.6,0.312,1.58,3.76
R3.2,A5,34.6,NA,NA,7.8,8.8,8.8,0.176,1.38,1.88
R4,A6,95.6,0.574,1.61,10.9,11.2,11.2,0.225,1.31,4.23
R5.1,A7,47.4,0.708,1.57,5.44,13.1,13.1,0.263,1.41,2.64
R5.2,A8,0.582,0.14,1.21,0,0,0,-0.035,-1.99,0.47
R6.a,A9,60,0.638,1.51,4.42,7.4,7.4,0.149,1.19,3.8
R6.b,A10,27.8,0.306,1.48,2.26,4.7,4.7,0.094,1.02,5.89
R7.a,A11,31.2,0.728,1.57,6.46,15,15,0.301,1.82,1.56
R7.b,A12,27.4,NA,NA,0,0,0,-0.056,-6.76,0.52
R9,B1,NA,0.739,1.68,17.9,18.1,18.1,0.362,1.58,3.88
R10,B2,68,0.358,1.55,10.6,7.6,7.6,0.151,1.46,-44.99
R11,B3,83,0.395,1.51,6.22,5.9,5.9,0.118,1.26,57.4
R12,B4,NA,0.663,1.64,17.2,24.3,24.3,0.486,1.61,1.63
R13,B5,51.4,0.309,1.44,5.62,4.2,4.2,0.084,0.84,-1.05
R14,B6,23.6,0.26,1.44,1.62,5.3,5.3,0.106,1.1,1.66
R15,B7,13.2,0.175,1.14,1.6,2.9,2.9,0.057,0.98,-2.77
R16,B8,53,0.353,1.62,9.56,14,14,0.279,1.65,2.11
NA,B9,NA,NA,NA,0,0,0,-0.266,1.81,0.46
R18,B10,45.8,0.359,1.29,3.02,0,0,-1.11,0.84,0.73
R20+19,B11,98.4,0.716,1.54,12,6.3,6.3,0.127,2.69,-1.31
R19,B12,NA,0.891,1.56,0.9,3.2,3.2,-0.302,1.28,0.57
R21,C1,NA,1.103,1.62,4.7,NA,NA,NA,NA,NA
R22,C2,NA,1.61,1.74,12.1,15.8,15.8,0.315,1.57,2.99
R23,C3,NA,0.782,1.65,11.6,13.1,13.1,0.262,1.45,2.17
R24,C4,116,0.808,1.57,7.16,8.4,8.4,0.167,1.53,5
R25,C5,60,0.288,1.48,0.448,3,3,0.061,1,-3.05
R26,C6,NA,0.684,1.67,8.58,0,0,-0.075,1.1,0.17
R27,C7,82.6,0.468,1.53,0.53,5.2,5.2,0.104,1.13,2.47
R28,C8,95.2,0.372,1.65,3.38,2.3,2.3,0.046,0.96,-0.78
R29,C9,9.5,0.191,1.22,0.488,0.7,0.7,0.013,0.38,-0.43
R30,C10,NA,0.851,1.65,7.68,NA,NA,NA,NA,NA
R31,C11,60,0.453,1.42,0,0,0,-0.097,1.31,0.44
R32,C12,NA,1.124,1.74,0.15,16.7,16.7,0.334,1.67,2.51
R33,D1,48.2,0.567,1.5,10.3,11.4,11.4,0.228,1.5,8.67
R34,D2,31.4,0.511,1.59,0,0,0,-0.017,-1.1,0.29
R35,D3,41.6,0.112,1.16,5.8,11.9,11.9,0.237,1.55,3.63
R36,D4,1.54,1.034,1.72,0,0.2,0.2,0.004,0.17,-0.2
R37,D5,NA,0.619,1.62,16.2,21.1,21.1,0.423,1.58,2.84
R38,D6,78.8,0.452,1.55,9.54,15.2,15.2,0.303,1.55,3.38
R39,D7,21,0.449,1.52,2.72,6.7,6.7,0.135,1.26,10.68
R40,D8,47.6,0.636,1.66,5.96,12,12,0.239,1.44,2.42
R41,D9,70.8,0.707,1.56,11.2,4.9,4.9,0.099,11.2,-0.38
R42,D10,99,0.089,0.82,9.66,11.7,11.7,0.234,1.39,4.8
R43,D11,0.194,NA,NA,0,0,0,-0.013,-0.71,0.31
R44,D12,42,NA,NA,0,0,0,-0.033,-2.01,0.43
R45,E1,55,0.727,1.71,8.34,17.6,17.6,0.353,1.64,2.99
R46,E2,57.8,0.523,1.68,15.7,0,0,-1.521,1,0.61
R47,E3,89,0.621,1.65,16.6,NA,NA,NA,NA,NA
R48,E4,44.8,0.517,1.64,5.58,18.7,18.7,0.375,1.49,2.53
R49,E5,58.8,0.542,1.65,0,0,0,-0.033,5.57,0.5
R50,E6,26.4,0.46,1.65,5,11.3,11.3,0.226,1.46,4.12
R51,E7,NA,1.328,1.73,25.6,44,44,0.88,1.71,1.6
R52,E8,NA,0.821,1.74,24.2,25.6,25.6,0.513,1.72,3.06
R53,E9,86,0.808,1.69,19.6,17.8,17.8,0.355,1.5,3.99
R54,E10,NA,2.64,1.68,46.8,55.8,55.8,1.116,1.74,2.65
R55,E11,39.2,0.754,1.55,0,0,0,-0.022,-2.88,0.35
R56,E12,48.2,NA,NA,0,0,0,-0.069,3.24,0.52
C1,F1,NA,0.119,1.01,0,0,0,-0.018,-1.07,0.29
C2,F2,NA,NA,NA,0,1.1,1.1,0.022,0.41,1.09
PCR_water,F3,NA,NA,NA,0,0,0,-0.011,-0.53,0.25
