sample_names,Condition,conc_16s__PCR,barcode,Sample_ID,Sample_ID,Latitude,Longitude,Morphology_species,Sex,Age,Weight_g,Location_type,Date,sample_or_control
R43,,0.001,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode47,R43,R43,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,46,Chickens,24.03.2023,sample
R3.2,,0.18,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode05,R03,R03,-22.578856,18.190222,Mastomy_coucha,male,adult,32.5,Bush,22.03.2025,sample
C2,,0.3,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode62,C2,C2,NA,NA,NA,NA,NA,NA,NA,NA,control
C1,,0.4,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode61,C1,C1,NA,NA,NA,NA,NA,NA,NA,NA,control
R5.2,,2.1,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode08,R05,R05,-22.580747,18.187053,Micaelamys_namaquesnsis,male,adult,43.5,Indoors,22.03.2027,sample
R35,,3.2,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode39,R35,R35,-22.683966,18.160235,Micaelamys_namaquesnsis,male,adult,61,Bush,24.03.2023,sample
R39,,5,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode43,R39,R39,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,59,Chickens,24.03.2023,sample
R56,,5.72,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode60,R56,R56,-22.575708,18.19194,Vole?,,adult,49,Bush,26.03.2023,sample
R9,,5.72,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode13,R09,R09,-22.61483,18.192715,Thallomys_paedulcus,male,adult,116,House_outdoors,23.03.2023,sample
R1,,5.92,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode01,R01,R01,-22.578899,18.189302,Mastomy_coucha,male,adult,38.7,Outdoor_kitchen,22.03.2023,sample
R22,,6,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode26,R22,R22,-22.613411,18.193519,Mastomy_coucha,male,adult,35,Farm,23.03.2023,sample
R5.1,,6.38,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode07,R05,R05,-22.580747,18.187053,Micaelamys_namaquesnsis,male,adult,43.5,Indoors,22.03.2027,sample
R15,,8,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode19,R15,R15,-22.613508,18.192469,Micaelamys_namaquesnsis,male,adult,54,House_outdoors,23.03.2023,sample
R2.2,,9.444,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode03,R02,R02,-22.578899,18.189302,Mastomy_coucha,male,adult,43.5,Outdoor_kitchen,22.03.2024,sample
R14,,11,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode18,R14,R14,-22.613508,18.192469,Micaelamys_namaquesnsis,male,juvenile,,House_outdoors,23.03.2023,sample
R36,,11,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode40,R36,R36,-22.683966,18.160235,Micaelamys_namaquesnsis,male,adult,52,Bush,24.03.2023,sample
R1.1,,11.6,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode02,R01,R02,-22.578899,18.189302,Mastomy_coucha,male,adult,39.7,Outdoor_kitchen,22.03.2024,sample
R18,,11.7,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode22,R18,R18,-22.615737,18.192335,Mastomy_coucha,male,adult,34,House_outdoors,23.03.2023,sample
R34,,12,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode38,R34,R34,-22.683846,18.160353,Micaelamys_namaquesnsis,male,juvenile,19,Bush,24.03.2023,sample
R50,,12,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode54,R50,R50,-22.579395,18.192067,Micaelamys_namaquesnsis,female,adult,36,Bush,26.03.2023,sample
R38,fresh,14,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode42,R38,R38,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,46,Chickens,24.03.2023,sample
R11,,15,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode15,R11,R11,-22.615088,18.192674,Thallomys_paedulcus,male,adult,89,House_outdoors,23.03.2023,sample
R19,,16,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode24,R19,R19,-22.615737,18.192335,Micaelamys_namaquesnsis,male,adult,56,House_outdoors,23.03.2023,sample
R45,fresh,16,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode49,R45,R45,-22.586753,18.184711,Micaelamys_namaquesnsis,male,adult,55,Bush,25.03.2023,sample
R48,,16,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode52,R48,R48,-22.582935,18.186706,Micaelamys_namaquesnsis,male,adult,62,Bush,25.03.2023,sample
R32,,16.3,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode36,R32,R32,-22.683742,18.160822,Micaelamys_namaquesnsis,,adult,,Bush,24.03.2023,sample
R23,,17,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode27,R23,R23,-22.613411,18.193519,Mastomy_coucha,male,adult,30,Farm,23.03.2023,sample
R24,,17,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode28,R24,R24,-22.613411,18.193519,Mastomy_coucha,male,adult,33,Farm,23.03.2023,sample
R12,,17.7,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode16,R12,R12,-22.615088,18.192674,Micaelamys_namaquesnsis,male,adult,60,House_outdoors,23.03.2023,sample
R16,,18,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode20,R16,R16,-22.613508,18.192469,Mastomy_coucha,male,adult,44,House_outdoors,23.03.2023,sample
R37,fresh_ans_old,18,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode41,R37,R37,-22.683966,18.160235,Micaelamys_namaquesnsis,male,adult,62,Bush,24.03.2023,sample
R40,,18,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode44,R40,R40,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,56,Chickens,24.03.2023,sample
R51,,18,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode55,R51,R51,-22.579473,18.191019,Micaelamys_namaquesnsis,female,adult,40,Bush,26.03.2023,sample
R4,,18.3,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode06,R04,R04,-22.580747,18.187053,Mastomy_coucha,male,juvenile,7,Indoors,22.03.2026,sample
R10,,18.4,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode14,R10,R10,-22.615088,18.192674,Mastomy_coucha,male,adult,40,House_outdoors,23.03.2023,sample
R21,,19,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode25,R21,R21,-22.613411,18.193519,Mastomy_coucha,male,adult,38,Farm,23.03.2023,sample
R31,,20,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode35,R31,R31,-22.683563,18.16095,Micaelamys_namaquesnsis,,adult,,House,24.03.2023,sample
R7.b,,20,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode12,R07,R07,-22.580747,18.187053,Mastomy_coucha,male,adult,45.5,Indoors,22.03.2029,sample
R28,fresh_and_old,20.8,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode32,R28,R28,-22.683319,18.160801,Micaelamys_namaquesnsis,,adult,,House_outdoors,24.03.2023,sample
R25,,21,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode29,R25,R25,-22.613411,18.193519,Micaelamys_namaquesnsis,male,adult,64,Farm,23.03.2023,sample
R3.1,,22.8,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode04,R03,R03,-22.578856,18.190222,Mastomy_coucha,male,adult,32.5,Bush,22.03.2025,sample
R27,,23.8,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode31,R27,R27,-22.683319,18.160801,Micaelamys_namaquesnsis,,adult,,House_outdoors,24.03.2023,sample
R26,,24,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode30,R26,R26,-22.613411,18.193519,Micaelamys_namaquesnsis,male,adult,44,Farm,23.03.2023,sample
R54,,24,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode58,R54,R54,-22.577597,18.191299,Vole?,male,adult,79,Bush,26.03.2023,sample
R46,,25,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode50,R46,R46,-22.583613,18.186369,Mastomy_coucha,female,adult,45,Bush,25.03.2023,sample
R20_19,,26,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode23,R20,R20,-22.613411,18.193519,Micaelamys_namaquesnsis,male,adult,45,Farm,23.03.2023,sample
R41,,27,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode45,R41,R41,-22.683512,18.161339,Micaelamys_namaquesnsis,female,adult,56,Chickens,24.03.2023,sample
R47,,27,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode51,R47,R47,-22.583613,18.186369,Elephantulus_intufi,63,adult,63,Bush,25.03.2023,sample
R53,,27,e17a8f2887894f8d7becdbeaafbc97db14bc8e66_EXP-PBC096_barcode57,R53,R53,-22.579016,18.190399,Micaelamys_namaquesnsis,male,adult,39,Bush,26.03.2023,sample
