Rack,Source,Rack,Destination,Volume,Tool
1,A1,1,A1,16.89189189,TS_50
1,A2,1,A2,8.620689655,TS_50
1,A3,1,A3,10.58873359,TS_50
1,A4,1,A4,4.385964912,TS_50
1,A5,1,A5,5,TS_50
1,A6,1,A6,5.464480874,TS_50
1,A7,1,A7,15.67398119,TS_50
1,A8,1,A8,5,TS_50
1,A9,1,A9,3.333333333,TS_50
1,A10,1,A10,3.571428571,TS_50
1,A11,1,A11,3.571428571,TS_50
1,A12,1,A12,5,TS_50
1,B1,1,B1,17.48251748,TS_50
1,B2,1,B2,5.434782609,TS_50
1,B3,1,B3,6.666666667,TS_50
1,B4,1,B4,5.649717514,TS_50
1,B5,1,B5,3.333333333,TS_50
1,B6,1,B6,9.090909091,TS_50
1,B7,1,B7,12.5,TS_50
1,B8,1,B8,5.555555556,TS_50
1,B10,1,B10,8.547008547,TS_50
1,B11,1,B11,3.846153846,TS_50
1,B12,1,B12,6.25,TS_50
1,C1,1,C1,5.263157895,TS_50
1,C2,1,C2,16.66666667,TS_50
1,C3,1,C3,5.882352941,TS_50
1,C4,1,C4,5.882352941,TS_50
1,C5,1,C5,4.761904762,TS_50
1,C6,1,C6,4.166666667,TS_50
1,C7,1,C7,4.201680672,TS_50
1,C8,1,C8,4.807692308,TS_50
1,C9,1,C9,3.03030303,TS_50
1,C10,1,C10,3.125,TS_50
1,C11,1,C11,5,TS_50
1,C12,1,C12,6.134969325,TS_50
1,D1,1,D1,3.649635036,TS_50
1,D2,1,D2,8.333333333,TS_50
1,D3,1,D3,5,TS_50
1,D4,1,D4,9.090909091,TS_50
1,D5,1,D5,5.555555556,TS_50
1,D6,1,D6,7.142857143,TS_50
1,D7,1,D7,20,TS_50
1,D8,1,D8,5.555555556,TS_50
1,D9,1,D9,3.703703704,TS_50
1,D10,1,D10,3.571428571,TS_50
1,D11,1,D11,5,TS_50
1,D12,1,D12,2.631578947,TS_50
1,E1,1,E1,6.25,TS_50
1,E2,1,E2,4,TS_50
1,E3,1,E3,3.703703704,TS_50
1,E4,1,E4,6.25,TS_50
1,E5,1,E5,3.225806452,TS_50
1,E6,1,E6,8.333333333,TS_50
1,E7,1,E7,5.555555556,TS_50
1,E8,1,E8,3.333333333,TS_50
1,E9,1,E9,3.703703704,TS_50
1,E10,1,E10,4.166666667,TS_50
1,E11,1,E11,3.448275862,TS_50
1,E12,1,E12,17.48251748,TS_50
1,F1,1,F1,5,TS_50
1,F2,1,F2,5,TS_50
1,F3,1,F3,5,TS_50
