#	Sample ID	User name	Date and Time	Nucleic Acid Conc.	Unit	A260	A280	260/280	260/230	Sample Type	Factor
1	A1	Marly Erazo	25/11/2024 16:32	43.3	ng/µl	0.866	0.547	1.59	1.44	DNA	50
2	A2	Marly Erazo	25/11/2024 16:33	12.6	ng/µl	0.251	0.193	1.3	0.68	DNA	50
3	A3	Marly Erazo	25/11/2024 16:34	16.2	ng/µl	0.325	0.281	1.15	0.42	DNA	50
4	A4	Marly Erazo	25/11/2024 16:34	63.9	ng/µl	1.278	0.805	1.59	1.27	DNA	50
5	A6	Marly Erazo	25/11/2024 16:35	46.1	ng/µl	0.921	0.574	1.61	1.35	DNA	50
6	A7	Marly Erazo	25/11/2024 16:38	55.8	ng/µl	1.115	0.708	1.57	1.02	DNA	50
7	A8	Marly Erazo	25/11/2024 16:39	8.5	ng/µl	0.17	0.14	1.21	0.1	DNA	50
8	A9	Marly Erazo	25/11/2024 16:40	48.1	ng/µl	0.962	0.638	1.51	0.9	DNA	50
9	A10	Marly Erazo	25/11/2024 16:40	22.6	ng/µl	0.453	0.306	1.48	0.76	DNA	50
10	A11	Marly Erazo	25/11/2024 16:41	57	ng/µl	1.14	0.728	1.57	0.93	DNA	50
11	B1	Marly Erazo	25/11/2024 16:41	62	ng/µl	1.24	0.739	1.68	0.87	DNA	50
12	B2	Marly Erazo	25/11/2024 16:42	27.6	ng/µl	0.553	0.358	1.55	1.36	DNA	50
13	B3	Marly Erazo	25/11/2024 16:43	29.8	ng/µl	0.595	0.395	1.51	0.8	DNA	50
14	B4	Marly Erazo	25/11/2024 16:43	54.4	ng/µl	1.088	0.663	1.64	1.11	DNA	50
15	B5	Marly Erazo	25/11/2024 16:43	22.3	ng/µl	0.445	0.309	1.44	0.51	DNA	50
16	B6	Marly Erazo	25/11/2024 16:44	18.8	ng/µl	0.376	0.26	1.44	0.53	DNA	50
17	B7	Marly Erazo	25/11/2024 16:45	9.9	ng/µl	0.199	0.175	1.14	0.48	DNA	50
18	B8	Marly Erazo	25/11/2024 16:45	28.6	ng/µl	0.572	0.353	1.62	0.87	DNA	50
19	B10	Marly Erazo	25/11/2024 16:46	23.1	ng/µl	0.462	0.359	1.29	0.41	DNA	50
20	B11	Marly Erazo	25/11/2024 16:46	55.1	ng/µl	1.103	0.716	1.54	0.39	DNA	50
21	B12	Marly Erazo	25/11/2024 16:47	69.5	ng/µl	1.39	0.891	1.56	0.59	DNA	50
22	C1	Marly Erazo	25/11/2024 16:47	89.5	ng/µl	1.789	1.103	1.62	0.92	DNA	50
23	C2	Marly Erazo	25/11/2024 16:49	140.2	ng/µl	2.804	1.61	1.74	0.98	DNA	50
24	C3	Marly Erazo	25/11/2024 16:49	64.6	ng/µl	1.291	0.782	1.65	1.03	DNA	50
25	C4	Marly Erazo	25/11/2024 16:50	63.4	ng/µl	1.268	0.808	1.57	0.72	DNA	50
26	C5	Marly Erazo	25/11/2024 16:50	21.3	ng/µl	0.426	0.288	1.48	0.61	DNA	50
27	C6	Marly Erazo	25/11/2024 16:52	57.3	ng/µl	1.145	0.684	1.67	1.19	DNA	50
28	C7	Marly Erazo	25/11/2024 16:53	35.7	ng/µl	0.715	0.468	1.53	1.18	DNA	50
29	C8	Marly Erazo	25/11/2024 16:53	30.7	ng/µl	0.615	0.372	1.65	1.33	DNA	50
30	C9	Marly Erazo	25/11/2024 16:53	11.7	ng/µl	0.234	0.191	1.22	0.55	DNA	50
31	C10	Marly Erazo	25/11/2024 16:54	70.3	ng/µl	1.405	0.851	1.65	1.4	DNA	50
32	C11	Marly Erazo	25/11/2024 16:54	32.2	ng/µl	0.643	0.453	1.42	1	DNA	50
33	C12	Marly Erazo	25/11/2024 16:55	97.6	ng/µl	1.952	1.124	1.74	1.07	DNA	50
34	D1	Marly Erazo	25/11/2024 16:55	42.6	ng/µl	0.852	0.567	1.5	1	DNA	50
35	D3	Marly Erazo	25/11/2024 16:56	40.5	ng/µl	0.81	0.511	1.59	1.17	DNA	50
36	D4	Marly Erazo	25/11/2024 16:56	6.5	ng/µl	0.13	0.112	1.16	0.45	DNA	50
37	D5	Marly Erazo	25/11/2024 16:57	88.8	ng/µl	1.775	1.034	1.72	1.51	DNA	50
38	D6	Marly Erazo	25/11/2024 16:58	50.1	ng/µl	1.001	0.619	1.62	1.03	DNA	50
39	D7	Marly Erazo	25/11/2024 17:00	35	ng/µl	0.7	0.452	1.55	0.91	DNA	50
40	D8	Marly Erazo	25/11/2024 17:02	34	ng/µl	0.68	0.449	1.52	1.07	DNA	50
41	D9	Marly Erazo	25/11/2024 17:04	52.9	ng/µl	1.057	0.636	1.66	1.27	DNA	50
42	D10	Marly Erazo	25/11/2024 17:04	55.2	ng/µl	1.105	0.707	1.56	1.05	DNA	50
43	D11	Marly Erazo	25/11/2024 17:04	3.6	ng/µl	0.073	0.089	0.82	0.09	DNA	50
44	E1	Marly Erazo	25/11/2024 17:06	62.1	ng/µl	1.243	0.727	1.71	1.53	DNA	50
45	E2	Marly Erazo	25/11/2024 17:06	43.8	ng/µl	0.876	0.523	1.68	0.23	DNA	50
46	E3	Marly Erazo	25/11/2024 17:07	51.1	ng/µl	1.023	0.621	1.65	1.31	DNA	50
47	E4	Marly Erazo	25/11/2024 17:07	42.4	ng/µl	0.848	0.517	1.64	1.38	DNA	50
48	E5	Marly Erazo	25/11/2024 17:07	44.8	ng/µl	0.896	0.542	1.65	1.18	DNA	50
49	E6	Marly Erazo	25/11/2024 17:08	38	ng/µl	0.76	0.46	1.65	0.74	DNA	50
50	E7	Marly Erazo	25/11/2024 17:08	115	ng/µl	2.299	1.328	1.73	1.26	DNA	50
51	E8	Marly Erazo	25/11/2024 17:09	71.2	ng/µl	1.424	0.821	1.74	1.49	DNA	50
52	E9	Marly Erazo	25/11/2024 17:09	68.3	ng/µl	1.366	0.808	1.69	1.14	DNA	50
53	E10	Marly Erazo	25/11/2024 17:09	221.4	ng/µl	4.427	2.64	1.68	1.06	DNA	50
54	E11	Marly Erazo	25/11/2024 17:10	58.4	ng/µl	1.169	0.754	1.55	1.03	DNA	50
55	F2	Marly Erazo	25/11/2024 17:11	6	ng/µl	0.121	0.119	1.01	0.19	DNA	50
56	Clean-A1	Marly Erazo	25/11/2024 17:12	13.7	ng/µl	0.273	0.187	1.47	1.67	DNA	50
