tax_id	species	genus	family	order	class	phylum	superkingdom
10000		Libanicoccus	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria
10101	atypica;	Actinomycetospora	Pseudonocardiaceae	Pseudonocardiales	Actinobacteria	Actinobacteriota	Bacteria
10114		Lachnospiraceae UCG-001	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
1029			Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
103	haemolyticus;	Haemophilus	Pasteurellaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
10334		Fusicatenibacter	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
10351	sartorii;	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
1036		Lachnoclostridium	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
10365		[Eubacterium] ventriosum group	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
10465		UCG-003	Oscillospiraceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
1050	hepaticus;	Helicobacter	Helicobacteraceae	Campylobacterales	Campylobacteria	Campylobacterota	Bacteria
10539		[Eubacterium] xylanophilum group	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
106		Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
1064		Butyrivibrio	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
10649		Candidatus Arthromitus	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria
10668						WPS-2	Bacteria
1069	crispatus;	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
10700		Coriobacteriaceae UCG-003	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria
108		Campylobacter	Campylobacteraceae	Campylobacterales	Campylobacteria	Campylobacterota	Bacteria
10857		Catenisphaera	Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
11		Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
110	fragilis;	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
1110		Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcota	Bacteria
1111			Eggerthellaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria
11211	scoriae;	Marmoricola	Nocardioidaceae	Propionibacteriales	Actinobacteria	Actinobacteriota	Bacteria
116		Arthrobacter	Micrococcaceae	Micrococcales	Actinobacteria	Actinobacteriota	Bacteria
11665	pleomorphus;	Faecalicoccus	Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
