sample_names,Condition,Qubit_ng_µl,EXP-PBC096_barcode
C1,,0.4,EXP-PBC096_barcode61
C2,,0.3,EXP-PBC096_barcode62
R1,,5.92,EXP-PBC096_barcode01
R1.1,,11.6,EXP-PBC096_barcode02
R10,,18.4,EXP-PBC096_barcode14
R11,,15,EXP-PBC096_barcode15
R12,,17.7,EXP-PBC096_barcode16
R13,,30,EXP-PBC096_barcode17
R14,,11,EXP-PBC096_barcode18
R15,,8,EXP-PBC096_barcode19
R16,,18,EXP-PBC096_barcode20
R18,,11.7,EXP-PBC096_barcode22
R19,,16,EXP-PBC096_barcode24
R2.2,,9.444,EXP-PBC096_barcode03
R20_19,,26,EXP-PBC096_barcode23
R21,,19,EXP-PBC096_barcode25
R22,,6,EXP-PBC096_barcode26
R23,,17,EXP-PBC096_barcode27
R24,,17,EXP-PBC096_barcode28
R25,,21,EXP-PBC096_barcode29
R26,,24,EXP-PBC096_barcode30
R27,,23.8,EXP-PBC096_barcode31
R28,fresh_and_old,20.8,EXP-PBC096_barcode32
R29,fresh,33,EXP-PBC096_barcode33
R3.1,,22.8,EXP-PBC096_barcode04
R3.2,,0.18,EXP-PBC096_barcode05
R30,fresh_and_old,32,EXP-PBC096_barcode34
R31,,20,EXP-PBC096_barcode35
R32,,16.3,EXP-PBC096_barcode36
R33,,27.4,EXP-PBC096_barcode37
R34,,12,EXP-PBC096_barcode38
R35,,3.2,EXP-PBC096_barcode39
R36,,11,EXP-PBC096_barcode40
R37,fresh_ans_old,18,EXP-PBC096_barcode41
R38,fresh,14,EXP-PBC096_barcode42
R39,,5,EXP-PBC096_barcode43
R4,,18.3,EXP-PBC096_barcode06
R40,,18,EXP-PBC096_barcode44
R41,,27,EXP-PBC096_barcode45
R42,fresh,28,EXP-PBC096_barcode46
R43,,0,EXP-PBC096_barcode47
R44,fresh,38,EXP-PBC096_barcode48
R45,fresh,16,EXP-PBC096_barcode49
R46,,25,EXP-PBC096_barcode50
R47,,27,EXP-PBC096_barcode51
R48,,16,EXP-PBC096_barcode52
R49,,31,EXP-PBC096_barcode53
R5.1,,6.38,EXP-PBC096_barcode07
R5.2,,2.1,EXP-PBC096_barcode08
R50,,12,EXP-PBC096_barcode54
R51,,18,EXP-PBC096_barcode55
R52,,30,EXP-PBC096_barcode56
R53,,27,EXP-PBC096_barcode57
R54,,24,EXP-PBC096_barcode58
R55,,29,EXP-PBC096_barcode59
R56,,5.72,EXP-PBC096_barcode60
R6.a,fresh,30,EXP-PBC096_barcode09
R6.b,,28,EXP-PBC096_barcode10
R7.a,fresh,28,EXP-PBC096_barcode11
R7.b,,20,EXP-PBC096_barcode12
R9,,5.72,EXP-PBC096_barcode13
,,,
