Rack,Source,Rack,Destination,Volume,Tool
1,A1,1,2_3_A1,4.771903035,TS_50
1,A2,1,2_3_A1,4.394831678,TS_50
1,A3,1,2_3_A1,4.33576136,TS_50
1,A4,1,2_3_A1,4.032258065,TS_50
1,A5,1,2_3_A1,1,TS_50
1,A6,1,2_3_A1,4.993508439,TS_50
1,A7,1,2_3_A1,4.189359028,TS_50
1,A8,1,2_3_A1,5.659309564,TS_50
1,A9,1,2_3_A1,3.043213634,TS_50
1,A10,1,2_3_A1,3.225806452,TS_50
1,A11,1,2_3_A1,3.584229391,TS_50
1,A12,1,2_3_A1,2.986857826,TS_50
1,B1,1,2_3_A1,4.480286738,TS_50
1,B2,1,2_3_A1,2.880184332,TS_50
1,B3,1,2_3_A1,4.2333418,TS_50
1,B4,1,2_3_A1,3.225806452,TS_50
1,B5,1,2_3_A1,3.71636688,TS_50
1,B6,1,2_3_A1,3.225806452,TS_50
1,B7,1,2_3_A1,2.93255132,TS_50
1,B8,1,2_3_A1,2.986857826,TS_50
1,B10,1,2_3_A1,3.431708991,TS_50
1,B11,1,2_3_A1,2.733734281,TS_50
1,B12,1,2_3_A1,3.733572282,TS_50
1,C1,1,2_3_A1,3.162555345,TS_50
1,C2,1,2_3_A1,23.04147465,TS_50
1,C3,1,2_3_A1,2.780867631,TS_50
1,C4,1,2_3_A1,3.162555345,TS_50
1,C5,1,2_3_A1,3.867873443,TS_50
1,C6,1,2_3_A1,2.688172043,TS_50
1,C7,1,2_3_A1,3.924338749,TS_50
1,C8,1,2_3_A1,4.178505766,TS_50
1,C9,1,2_3_A1,4.716091304,TS_50
1,C10,1,2_3_A1,2.688172043,TS_50
1,C11,1,2_3_A1,2.829654782,TS_50
1,C12,1,2_3_A1,3.840245776,TS_50
1,D1,1,2_3_A1,2.829654782,TS_50
1,D2,1,2_3_A1,3.395585739,TS_50
1,D3,1,2_3_A1,4.716091304,TS_50
1,D4,1,2_3_A1,3.101736973,TS_50
1,D5,1,2_3_A1,3.101736973,TS_50
1,D6,1,2_3_A1,3.374274531,TS_50
1,D7,1,2_3_A1,4.255681335,TS_50
1,D8,1,2_3_A1,2.733734281,TS_50
1,D9,1,2_3_A1,2.880184332,TS_50
1,D10,1,2_3_A1,3.608284621,TS_50
1,D11,1,2_3_A1,1,TS_50
1,D12,1,2_3_A1,3.795066414,TS_50
1,E1,1,2_3_A1,3.162555345,TS_50
1,E2,1,2_3_A1,4.887585533,TS_50
1,E3,1,2_3_A1,2.93255132,TS_50
1,E4,1,2_3_A1,3.707823508,TS_50
1,E5,1,2_3_A1,3.318730917,TS_50
1,E6,1,2_3_A1,3.924338749,TS_50
1,E7,1,2_3_A1,3.733572282,TS_50
1,E8,1,2_3_A1,3.795066414,TS_50
1,E9,1,2_3_A1,3.225806452,TS_50
1,E10,1,2_3_A1,2.93255132,TS_50
1,E11,1,2_3_A1,2.986857826,TS_50
1,E12,1,2_3_A1,4.167708594,TS_50
1,F1,1,2_3_A1,1,TS_50
1,F2,1,2_3_A1,1,TS_50
