Sample_ID,Observed,Shannon,InvSimpson,barcode_16s,is_control,sample_or_control,Latitude,Longitude,Morphology_species,Sex,Age,Weight_g,Location_type,Date,conc_16s__PCR,Gene,LibrarySize,is.neg
R48__barcode52,73,2.728931188242537,9.278057116822106,barcode52,FALSE,sample,-22.582935,18.186706,Micaelamys_namaquesnsis,male,adult,62,Bush,25.03.2023,16,16,39900.9999999592,FALSE
R18__barcode22,78,2.0182697461743597,3.0527855813585933,barcode22,FALSE,sample,-22.615737,18.192335,Mastomy_coucha,male,adult,34,House_outdoors,23.03.2023,11.7,16,39358.99999993836,FALSE
R01__barcode01,76,1.9974253171015122,2.917622788387661,barcode01,FALSE,sample,-22.578899,18.189302,Mastomy_coucha,male,adult,38.7,Outdoor_kitchen,22.03.2023,5.92,16,35510.9999997235,FALSE
R01__barcode02,56,1.7868730704559745,2.878048323579078,barcode02,FALSE,sample,-22.578899,18.189302,Mastomy_coucha,male,adult,38.7,Outdoor_kitchen,22.03.2023,11.6,16,57987.00000001376,FALSE
R02__barcode03,37,1.6939889047022567,3.2046028860581393,barcode03,FALSE,sample,-22.578899,18.189302,Mastomy_coucha,male,adult,43.5,Outdoor_kitchen,22.03.2023,9.444,16,24182.999999990367,FALSE
R03__barcode04,52,1.3822302987276742,1.946708730454605,barcode04,FALSE,sample,-22.578856,18.190222,Mastomy_coucha,male,adult,32.5,Bush,22.03.2023,22.8,16,52512.99999999744,FALSE
R04__barcode06,74,2.3166113980646204,4.6092734372294935,barcode06,FALSE,sample,-22.580747,18.187053,Mastomy_coucha,male,juvenile,7,Indoors,22.03.2023,18.3,16,72776.00000003331,FALSE
R07__barcode11,39,2.2124493583385707,6.401501968985457,barcode11,FALSE,sample,-22.580747,18.187053,Mastomy_coucha,male,adult,45.5,Indoors,22.03.2023,28,16,39139.00000029416,FALSE
R07__barcode12,45,2.528984534011311,8.833837013146452,barcode12,FALSE,sample,-22.580747,18.187053,Mastomy_coucha,male,adult,45.5,Indoors,22.03.2023,20,16,25187.000000011623,FALSE
R09__barcode13,60,2.4435355232608345,6.625953531152558,barcode13,FALSE,sample,-22.61483,18.192715,Thallomys_paedulcus,male,adult,116,House_outdoors,23.03.2023,5.72,16,39374.0000000084,FALSE
R10__barcode14,56,2.261706360814427,4.426118701259192,barcode14,FALSE,sample,-22.615088,18.192674,Mastomy_coucha,male,adult,40,House_outdoors,23.03.2023,18.4,16,32608.99999999865,FALSE
R11__barcode15,77,2.7605632002017697,7.85822790242059,barcode15,FALSE,sample,-22.615088,18.192674,Thallomys_paedulcus,male,adult,89,House_outdoors,23.03.2023,15,16,28539.999999930875,FALSE
R12__barcode16,82,2.5668813924507248,5.78533501823528,barcode16,FALSE,sample,-22.615088,18.192674,Micaelamys_namaquesnsis,male,adult,60,House_outdoors,23.03.2023,17.7,16,50836.00000000773,FALSE
