tax_id,R31,R34,C1,R55,R37,R1,R22,R48,R7.b,R11,R36,R13,R43,R51,R32,R3.1,R53,R56,R1.1,R5.2,R20_19,R4,R41,R33,R50,R16,R14,R29,R5.1,R24,R54,R39,R15,R35,R10,R27,R21,R44,R40,R7.a,R38,R6.b,R49,R19,R18,R28,R25,R52,R46,R3.2,R30,R45,R42,R2.2,R12,R23,R26,R47,R6.a,C2,R9
8638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.007549368,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.003552398,,,,,,,,,
876,,1.350075503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.301171291,,2.000413223,,,,,,,,,,,1.086536717,,,,,,,,1.253658005,,
7047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000930702,,,,,,,,,,,,,,,,,,,,,
590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.997440013,,,,,,,,,,,,,,,,,,,,,,,
5911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4772,,,,,,,,,,,,,,,,,,,,,,,2.002525253,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.001086957,,,,,
687,,,,,,,,,,,,,,,,,,,,,,,2.00401934,,,,,,,,,,,,,,,,,,,1.066648161,,,,,,,,,,,,,,,,,,,
2647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13091,,,,,,,,,,3.083769544,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.002421767,,,,,,,,,,,,,,,,,,,,,1.001776199,,,,,,,,,
18077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.015555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
15859,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.124078904,,,,,,,,,,,,,,,,,,,,,,,
16584,,,,,,,,,,1,,,,,,,,,,,,,5.006313132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.006824368,,,,,,,,,,,,,,,,,,,,,,,
12601,,1,,,,,,,,,,,,,,,,,,,,,2.002525253,,,,,,,,1.002222222,,,,,,,,1,,,,,1,1.002192982,1.001257862,,,,,,,,,,1.001086957,,,,,
17592,,,,,9.005554471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4609,,,,,,,,,,,,,,,,,,19.83307692,,,,,,1.042958231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000012341,,,,,,,,,,,,,,,,,
7688,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.30060853,,,
6637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5839,,,,,,,,,,,,,,,,,,,,,,,2.002525253,,,,,,,,,,,,,,,,1,,,,,,,1.00133793,,,,,,,,,,,,,,,
9519,,,,,1,,,,,,,5.007052186,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
3508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3051,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.002192982,,,,,,,,,,,,,,,,
10365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.026561639,,,,,,,,,,,,1.002089864,,,,,,,,,,,2.002664775,,,,,,,
9071,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.002089864,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.08861461,,,
1502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1.002192982,,,,,,,,,,,2.002173913,,,,,
15381,,1,,,1.000000001,,,,,2,,,,,,,,,,,,,1.001262629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.002140394,,1.000997637,,,1.004715135,,1.002292507,,,,,,,,,,,,,,,,
5318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.39210942,,,
5356,,,,,,,,,,,,1.00361976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.004385902,,,,,,,,,,,,,,1,,
18074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00533049,,,,,,,2.004385965,,,,,,,,,,,,,,,,
6493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.002222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15759,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.001086957,,,,,
8255,,,,,1.000138776,,,,,1.000000012,,,,,,,,,,,,,,,,,,,,,1.002222222,,,,,,,,,,,,,,,,,,,,,,,,,3.008962186,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.125540061,2,,,,,,,,,,,,,,,1.001335113,,1.001086957,,,,,
7087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.009436106,,1.000008698,,,,,,,,,,,,,,,,,,,
851,,2.640992973,,,,,,,1.019643905,,,1.295917054,,,,,,,,,,,,1.010079756,,37.38912936,15.13972687,,,,,,,5.469400216,,,,2.403537084,,,,,,,,,,,,,,,5.288402844,,,,,,2.759466031,,
7045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.57164506,,,
8497,,,,,,,,,,,,1.001410437,,,,,2.003288867,,,,,,3.003787879,,,,,,,,2.004444444,,14.29836381,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
1416,,,,,,,,,,1.000000002,,,,,,,1,,,,,,,,,,,,,,,,,,1.000000001,,,,,,,,,1.999999949,,,,,,,,1.001776809,,,,,,,,,
6684,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.001257862,,,,,,2.003552398,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2.004385965,1.001257862,,,,,,,,,,5.005434783,,,,,
6046,,,,,1,,,,1.006339144,1,,,,,,,1,,10.41029207,,,,1.001262626,,,,,,,,,,,,2,,,,,,,,,,1.002192982,2.002512388,,,,,,,2,,,,,,,,
2734,,,,,,,,,2.012720105,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2.002297357,,,,,,,,,,,,,,,,,,,,17.43980719,,,
9950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.33629537,,,,,1.001335113,,,,,,,
569,,,,,,,,,,,,1.001410437,,,,,,,,,,,,,,36.4780127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,1,,,,,,2.002525253,,,23.68471209,,,,,,,,3,,,,,,1.000000135,,,,,,,,,,,,,,,,,,,,,
12812,,,,,,,25.62089116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,27.55102041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
18692,,,,,,,,25.28675903,,6,,,,,,,,,,,,,1.005617897,,,,,,,,,,,,,,,,,,,6.229065901,,,,,,,,,,,,,,,,,5,,
2091,,,,,,,,,,,,,,,,,,,,,,,,19.62544681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.004559066,,,,,,,,,,,,,,,31.09728456,,,
6385,,,,,,,,,,2.924884336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.004412434,,,,,,,,,,,,,,4,,
1385,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,1.002421667,,,,,,,,1,,,,,,2.004385968,,,,,,,,,,,,,,,,
