SampleID,observed,chao1,diversity_inverse_simpson,diversity_gini_simpson,diversity_shannon,diversity_coverage,evenness_camargo,evenness_pielou,evenness_simpson,evenness_evar,evenness_bulla,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_rare_abundance,barcode_16s,is_control,sample_or_control,Latitude,Longitude,Morphology_species,Sex,Age,Weight_g,Location_type,Date,conc_16s__PCR,Gene,LibrarySize,is.neg
R48__barcode52,73,73,9.27766152061867,0.8922142182297123,2.7288827027115734,4,0.8788709254702264,0.6360350773951511,0.12709125370710506,0.19579513395190762,0.2870923210265427,0.22195542385862257,0.3600985333504828,8856.243367373843,0.22195542385862257,0.10778578177028775,0.4676361954445302,0.962229859185296,2.0583374142929673,0.031984921465846694,0.3798111810694591,barcode52,FALSE,sample,-22.582935,18.186706,Micaelamys_namaquesnsis,male,adult,62,Bush,25.03.2023,16,16,39900.9999999592,FALSE
R18__barcode22,78,78,3.0527320552334962,0.6724245751324178,2.0183039281239514,1,0.9773987587301525,0.46326344229378824,0.03913759045171149,0.24478162979906815,0.23233192511976508,0.5565503334137311,0.6455644476992842,21905.264572796736,0.5565503334137311,0.32757542486758223,0.8852394629073655,0.9725524351419894,2.0602481305824076,0.04125822514989173,0.06662677124745542,barcode22,FALSE,sample,-22.615737,18.192335,Mastomy_coucha,male,adult,34,House_outdoors,23.03.2023,11.7,16,39358.99999993836,FALSE
R01__barcode01,76,76,2.9180244176460066,0.6573023878920424,1.997713955256035,1,0.9570047509728411,0.4612876846220123,0.03839505812692114,0.2609443085943721,0.23721244377996833,0.5730241122011528,0.6395800230103316,20348.659248216696,0.5730241122011528,0.34269761210795757,0.8894584239040065,0.9720312766667107,2.061182673596208,0.039738328401219096,0.03573467535877428,barcode01,FALSE,sample,-22.578899,18.189302,Mastomy_coucha,male,adult,38.7,Outdoor_kitchen,22.03.2023,5.92,16,35510.9999997235,FALSE
R01__barcode02,56,56,2.8781741197117015,0.6525575040261403,1.786960664275406,1,0.9255863604591528,0.4439265936410772,0.05139596642342324,0.19252147197691483,0.21119269588365078,0.5686181458287675,0.6720505729763258,32972.460422180564,0.5686181458287675,0.3474424959738597,0.8657794281393408,0.9814644390992959,2.0559831215929583,0.02248941842578101,0.03036300328703867,barcode02,FALSE,sample,-22.578899,18.189302,Mastomy_coucha,male,adult,38.7,Outdoor_kitchen,22.03.2023,11.6,16,57987.00000001376,FALSE
R02__barcode03,37,37,3.2048245452678334,0.6879704377337674,1.6940340170152546,1,0.9204632179474893,0.46914221203514905,0.08661687960183334,0.2022725912516775,0.20730139504847528,0.5122387919957376,0.683155498332437,12387.470706827988,0.5122387919957376,0.3120295622662326,0.866083930301644,0.98561416490224385,2.0558112284507795,0.023967329514772418,0.028417081948597267,barcode03,FALSE,sample,-22.578899,18.189302,Mastomy_coucha,male,adult,43.5,Outdoor_kitchen,22.03.2023,9.444,16,24182.999999990367,FALSE
R03__barcode04,52,52,1.9464658041723337,0.4862483595363162,1.3819448415571312,1,0.9545573522214768,0.34974932957394894,0.0374320346956218,0.21189030381313256,0.19011490329762779,0.7092004795914321,0.7907786518947129,37242.244784783055,0.7092004795914321,0.5137516404636838,0.9038487005256255,0.9851868523507654,2.0603671435018645,0.019944848567437813,0.029436426867755494,barcode04,FALSE,sample,-22.578856,18.190222,Mastomy_coucha,male,adult,32.5,Bush,22.03.2023,22.8,16,52512.99999999744,FALSE
R04__barcode06,74,74,4.6093017711019115,0.7830474007430983,2.3166161907947735,2,0.8390841279631831,0.5382391159586678,0.062287861771647454,0.17715593097622084,0.2494703482456416,0.43433892362651283,0.5254352355275035,31609.449505857567,0.43433892362651283,0.21695259925690163,0.6507608757549094,0.9708772668751804,2.0554128610729463,0.028674681215037492,0.1719812830905676,barcode06,FALSE,sample,-22.580747,18.187053,Mastomy_coucha,male,juvenile,7,Indoors,22.03.2023,18.3,16,72776.00000003331,FALSE
R07__barcode11,39,39,6.4016205022676305,0.8437895530286789,2.2125117885676584,3,0.9069074164007751,0.6039237229445987,0.16414411544275975,0.14489217912223384,0.26845142610605305,0.2939344102257198,0.45267819606473725,11504.29888191091,0.2939344102257198,0.15621044697132117,0.4400577887764187,0.9786563085971074,2.045277920946011,0.014280275593225866,0.43167759845814,barcode11,FALSE,sample,-22.580747,18.187053,Mastomy_coucha,male,adult,45.5,Indoors,22.03.2023,28,16,39139.00000029416,FALSE
R07__barcode12,45,45,8.833501036685927,0.8867946020669546,2.528960792234777,4,0.8828007933623181,0.6643511997795648,0.19630002303746505,0.196699895098976,0.31833073297331527,0.18568542077178032,0.34331697010098694,4676.858692980989,0.18568542077178032,0.11320539793304546,0.4859023608039273,0.970363212142229,2.0419186840399854,0.015623446645440346,0.3525248417343527,barcode12,FALSE,sample,-22.580747,18.187053,Mastomy_coucha,male,adult,45.5,Indoors,22.03.2023,20,16,25187.000000011623,FALSE
R09__barcode13,60,60,6.625150120442594,0.8490600240265658,2.4433398236774226,3,0.9204034601650378,0.5967596978089609,0.11041916867404324,0.19997963488230486,0.2875710836178033,0.2710692552913932,0.4734459986900645,10673.08085784559,0.2710692552913932,0.15093997597343423,0.581070194649266,0.9700565929850384,2.0598057656994158,0.028465336933106693,0.06247994737240814,barcode13,FALSE,sample,-22.61483,18.192715,Thallomys_paedulcus,male,adult,116,House_outdoors,23.03.2023,5.72,16,39374.0000000084,FALSE
R10__barcode14,56,56,4.425850532015903,0.77405472851689,2.2616199708498774,2,0.9777549685662461,0.5618440684463121,0.07903304521456969,0.22021012152511577,0.28339318816067505,0.4437428593307676,0.5482828251882097,14470.010899916402,0.4437428593307676,0.22594527148311,0.7977779774475641,0.9725752157787024,2.0605169960558376,0.026742290655894025,0.05885768780860379,barcode14,FALSE,sample,-22.615088,18.192674,Mastomy_coucha,male,adult,40,House_outdoors,23.03.2023,18.4,16,32608.99999999865,FALSE
R11__barcode15,77,77,7.858603861438006,0.872750934182218,2.760613685898054,3,0.9383932525346681,0.6355288549550142,0.10205979040828579,0.24732035219224935,0.3204037439434929,0.28106851744003625,0.4317146160790487,8021.695487719206,0.28106851744003625,0.12724906581778192,0.761495199513929,0.9570446532472534,2.0602164001236765,0.04008099585347904,0.17331739872457685,barcode15,FALSE,sample,-22.615088,18.192674,Thallomys_paedulcus,male,adult,89,House_outdoors,23.03.2023,15,16,28539.999999930875,FALSE
R12__barcode16,82,82,5.786164842120914,0.8271739524735955,2.567171788806843,3,0.9520846928285881,0.5825585077607509,0.07056298587952334,0.21869803332488624,0.29009255852012766,0.3642966038084675,0.493663216009195,18519.38215121007,0.3642966038084675,0.17282604752640454,0.847920213636463,0.9609601105107872,2.0601402888407807,0.029184639920822392,0.04876420347213184,barcode16,FALSE,sample,-22.615088,18.192674,Micaelamys_namaquesnsis,male,adult,60,House_outdoors,23.03.2023,17.7,16,50836.00000000773,FALSE
R13__barcode17,30,30,1.9250796424171968,0.4805409719338337,1.033072672358872,1,0.9973920779261276,0.30373793591891224,0.06416932141390656,0.2086665062687676,0.1219563610477157,0.6854282727248436,0.9030143774099783,19360.60699138471,0.6854282727248436,0.5194590280661663,0.2952175103387207,0.9919546547731785,2.05808799712107,0.015260091421488214,0.009034821496105905,barcode17,FALSE,sample,-22.615088,18.192674,Mastomy_coucha,male,adult,40,House_outdoors,23.03.2023,30,16,28245.999999998214,FALSE
R14__barcode18,81,81,12.496141470773715,0.9199752977878152,3.044807572636931,5,0.9701870004917618,0.6928758225361444,0.15427335149103352,0.20409770724052068,0.32901349111223527,0.19441821798246808,0.31034436351682065,8567.816448276924,0.19441821798246808,0.08002470221218484,0.7104641391608314,0.949571975437931,2.0572774367823015,0.03772669888910414,0.1162553129694055,barcode18,FALSE,sample,-22.613508,18.192469,Micaelamys_namaquesnsis,male,juvenile,NA,House_outdoors,23.03.2023,11,16,44069.00000003877,FALSE
R15__barcode19,117,117,8.631478276903017,0.884144990241602,3.0612169683511605,3,0.7759730209662014,0.642819227156424,0.07377331860600869,0.2510063894159227,0.3398300922859594,0.2787145243698655,0.42024238887087534,14119.120375531753,0.2787145243698655,0.11585500975839806,0.6974557734472335,0.9336850028824681,2.061024199676237,0.04271396969699028,0.13691336310445013,barcode19,FALSE,sample,-22.613508,18.192469,Micaelamys_namaquesnsis,male,adult,54,House_outdoors,23.03.2023,8,16,50712.00000001115,FALSE
R16__barcode20,81,81,11.063392487759936,0.9096118120091683,2.952409082997708,4,0.9685046420739446,0.6718496400984709,0.13658509244148068,0.20255568455100226,0.32007280932537413,0.19239249038420012,0.3520693069556237,12257.517954166566,0.19239249038420012,0.09038818799083168,0.7069839015200483,0.9527690136846676,2.0547175314995982,0.039872405761284896,0.08140635953496822,barcode20,FALSE,sample,-22.613508,18.192469,Mastomy_coucha,male,adult,44,House_outdoors,23.03.2023,18,16,63710.99999635533,FALSE
R19__barcode24,63,63,9.674226210282486,0.8966325597248155,2.689647947263063,4,0.9477558117218006,0.6491818694985124,0.15355914619496008,0.20163118700617,0.2945860697286039,0.16858756819629458,0.3348674667995689,5492.077199257243,0.16858756819629458,0.10336744027518457,0.8882251814070038,0.963882988354281,2.053492151195212,0.025908662217060723,0.035101310208522585,barcode24,FALSE,sample,-22.615737,18.192335,Micaelamys_namaquesnsis,male,adult,56,House_outdoors,23.03.2023,16,16,32603.00000000455,FALSE
R20__barcode23,52,52,6.0103654645590066,0.8336207663416401,2.2601961446009273,3,0.9728244931959604,0.5720214457974213,0.11558395124151935,0.18347090303165203,0.2542579668588001,0.294285403999146,0.4967070101251998,13729.002667378829,0.294285403999146,0.16637923365835994,0.9207336794443666,0.9760832323096893,2.0580622931468846,0.022401780069981305,0.026151167276743492,barcode23,FALSE,sample,-22.613411,18.193519,Micaelamys_namaquesnsis,male,adult,45,Farm,23.03.2023,26,16,46652.000000036256,FALSE
R21__barcode25,61,61,2.036424625228267,0.5089432785228141,1.557155136893598,1,0.9770477546851981,0.3787893251759353,0.03338401024964372,0.2649554758457203,0.22348151677661748,0.6958883335652739,0.7370472163179725,25802.147631960463,0.6958883335652739,0.491056721477186,0.8478988898226146,0.9795543083232259,2.0610482484608377,0.03377822606832313,0.040923153871384566,barcode25,FALSE,sample,-22.613411,18.193519,Mastomy_coucha,male,adult,38,Farm,23.03.2023,19,16,37078.00000003914,FALSE
R22__barcode26,109,109,2.3848027682185973,0.5806781116968507,1.7899117718051074,1,0.8871232650341321,0.3815346498999371,0.021878924479069698,0.1808933748821625,0.20020991598704138,0.6383332662451159,0.7103299863849035,116756.8994,0.6383332662451159,0.4193218883031493,0.8564892371915469,0.973439830222858,2.0576111721447323,0.03560891544126732,0.06370491071477669,barcode26,FALSE,sample,-22.613411,18.193519,Mastomy_coucha,male,adult,35,Farm,23.03.2023,6,16,182909.00000684924,FALSE
R23__barcode27,61,61,6.277562946121072,0.840702513286959,2.4458328212245952,3,0.928145349774453,0.5949666426256178,0.10291086796919789,0.21130570098599855,0.2814191342806661,0.3284362337644619,0.4678283663627886,11050.56552125038,0.3284362337644619,0.159297486713041,0.8627833249881477,0.9697439383902839,2.05442029994989,0.0259909552854849,0.03972700848672028,barcode27,FALSE,sample,-22.613411,18.193519,Mastomy_coucha,male,adult,30,Farm,23.03.2023,17,16,33646.00000003439,FALSE
R24__barcode28,74,74,2.8151033544680746,0.6447732555137557,1.9247348560134798,1,0.8539272774754192,0.4471899969757676,0.038041937222541546,0.2301742094575706,0.22959525064484765,0.5808838411816278,0.6874174787397006,26867.62030648849,0.5808838411816278,0.3552267444862443,0.6973748883119737,0.9742605485584903,2.0609120308761417,0.03580984696519554,0.08497582185090813,barcode28,FALSE,sample,-22.613411,18.193519,Mastomy_coucha,male,adult,33,Farm,23.03.2023,17,16,46253.00000054169,FALSE
R26__barcode30,62,62,4.060515690082531,0.7537258623473821,2.08681431177134,2,0.9596910667905654,0.5056327507369354,0.06549218854971825,0.20647164804897766,0.24359593344936006,0.4295043774324898,0.657866218592193,19386.968588565585,0.4295043774324898,0.2462741376526179,0.4256928200529647,0.9760292788022902,2.0603066572022124,0.02421834475744465,0.025830718998976154,barcode30,FALSE,sample,-22.613411,18.193519,Micaelamys_namaquesnsis,male,adult,44,Farm,23.03.2023,24,16,45138.00000004158,FALSE
